id,site_id,site_name,event_name,year,description,lat,lon
1,1,Galle Fort,Dutch Capture of Galle Fort,1640 AD,"Dutch East India Company captured the fort from the Portuguese with support from the Kingdom of Kandy and began Dutch control of Galle.",6.0305,80.2150
2,1,Galle Fort,British Takeover of Galle Fort,1796 AD,"British forces took control of Galle Fort from the Dutch during the Napoleonic wars and continued using the fort as an administrative and military center.",6.0305,80.2150
3,1,Galle Fort,Arrival of Chinese Traders,1400 AD,"Chinese merchants exchanged silk and porcelain for Sri Lankan gems and spices at the Galle harbour.",6.0305,80.2150

4,2,Temple of the Tooth Relic,Arrival of Hemamala and Danta,310 AD,"Princess Hemamala and Prince Danta brought the sacred Tooth Relic of Lord Buddha from India to Sri Lanka.",7.2936,80.6413
5,2,Temple of the Tooth Relic,Kandyan Convention Signed,1815 AD,"The Kandyan Convention of 1815 transferred sovereignty of the Kandyan Kingdom to the British marking the end of the Tooth Relic’s role as a symbol of royal authority.",7.2936,80.6413
6,2,Temple of the Tooth Relic,Establishment as Royal Shrine,1592 AD,"King Vimaladharmasuriya I enshrined the relic in a special temple in Kandy.",7.2936,80.6413

7,3,Jaya Sri Maha Bodhi,Planting of the Jaya Sri Maha Bodhi,288 BC,"The sacred Bo sapling from Bodh Gaya was planted in Anuradhapura by Sanghamitta Theri.",8.3446,80.3972
8,3,Jaya Sri Maha Bodhi,Reign of King Devanampiyatissa,247 BC,"King Devanampiyatissa embraced Buddhism and developed Anuradhapura as the first Buddhist capital.",8.3446,80.3972
9,3,Jaya Sri Maha Bodhi,Construction of Bodhighara,249 AD,"King Vasabha built protective structure and stone railings.",8.3446,80.3972

10,4,Sigiriya Rock Fortress,Construction of Sigiriya Fortress,477 AD,"King Kashyapa built the Sigiriya rock citadel as his royal palace and defensive stronghold.",7.9456,80.7616
11,4,Sigiriya Rock Fortress,Creation of Sigiriya Frescoes,480 AD,"The world-famous frescoes depicting celestial maidens were painted on the western rock face.",7.9456,80.7603
12,4,Sigiriya Rock Fortress,Abandonment and Monastery Use,495 AD,"After Kashyapa’s death, Sigiriya reverted to a Buddhist monastery.",7.9456,80.7616

13,5,Anuradhapura Sacred City,Founding of Anuradhapura,377 BC,"King Pandukabhaya establishes the first capital city of Sinhala kingdom.",8.3600,80.4300
14,5,Anuradhapura Sacred City,Introduction of Buddhism,247 BC,"Mahinda Thero introduced Buddhism to King Devanampiyatissa.",8.3600,80.4300
15,5,Anuradhapura Sacred City,Construction of Thuparamaya,247 BC,"First Buddhist dagoba built in Sri Lanka.",8.3600,80.4300

16,6,Polonnaruwa Ancient City,Reign of Parakramabahu I,1153 AD,"Golden era marked by irrigation advancements including Parakrama Samudra.",7.9520,81.0048
17,6,Polonnaruwa Ancient City,Construction of Gal Vihara,1155 AD,"Rock-cut Buddha statues representing pinnacle of Sinhalese sculpture.",7.9520,81.0048
18,6,Polonnaruwa Ancient City,Decline After Invasion,1214 AD,"Kalinga Magha’s invasion caused abandonment of the capital.",7.9520,81.0048

19,7,Adam’s Peak (Sri Pada),Buddha’s Sacred Footprint,Unknown,"Site revered for footprint believed to be of Lord Buddha.",6.8096,80.4994
